2026-04-13 17:06:44 | INFO    | rok.main             | ============================================================
2026-04-13 17:06:44 | INFO    | rok.main             | 万国觉醒辅助工具 - ROK Assistant v1.0.0
2026-04-13 17:06:44 | INFO    | rok.main             | ============================================================
2026-04-13 17:06:44 | INFO    | rok.main             | Initializing application...
2026-04-13 17:06:44 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-13 17:06:44 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-13 17:06:44 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-13 17:06:44 | INFO    | rok.ConfigManager    | Config watching started: .
2026-04-13 17:06:45 | INFO    | rok.MainWindow       | Main window initialized
2026-04-13 17:06:53 | INFO    | rok.gem_collect_setup | Gem collection is disabled in config
2026-04-13 17:06:53 | INFO    | rok.main             | Engine started
2026-04-13 17:06:53 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:54 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:54 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:55 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:55 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:56 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:56 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:57 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:57 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:58 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:58 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:59 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:06:59 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:00 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:00 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:01 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:01 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:02 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:02 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:03 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:03 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:04 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:04 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:05 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:05 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:05 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:06 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:06 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:06 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:06 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:07 | INFO    | rok.main             | Engine stopped
2026-04-13 17:07:11 | INFO    | rok.main             | Engine stopped
2026-04-13 17:07:11 | INFO    | rok.MainWindow       | Main window closed
2026-04-13 17:07:35 | INFO    | rok.main             | ============================================================
2026-04-13 17:07:35 | INFO    | rok.main             | 万国觉醒辅助工具 - ROK Assistant v1.0.0
2026-04-13 17:07:35 | INFO    | rok.main             | ============================================================
2026-04-13 17:07:35 | INFO    | rok.main             | Initializing application...
2026-04-13 17:07:35 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-13 17:07:35 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-13 17:07:35 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-13 17:07:35 | INFO    | rok.test             | ==================================================
2026-04-13 17:07:35 | INFO    | rok.test             | Running basic functionality test
2026-04-13 17:07:35 | INFO    | rok.test             | ==================================================
2026-04-13 17:07:35 | INFO    | rok.test             | Test 1: Window search...
2026-04-13 17:07:35 | ERROR   | rok.WindowCapture    | Window not found: 万国觉醒
2026-04-13 17:07:35 | WARNING | rok.test             |   SKIP - Window '万国觉醒' not found
2026-04-13 17:07:35 | INFO    | rok.test             | Test 2: Screen capture...
2026-04-13 17:07:35 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:07:35 | WARNING | rok.test             |   SKIP - Capture returned None (window may not be active)
2026-04-13 17:07:35 | INFO    | rok.test             | Test 3: Model loading...
2026-04-13 17:07:35 | ERROR   | rok.YOLODetector     | Model file not found: models/current/rok_detector.pt
2026-04-13 17:07:35 | ERROR   | rok.test             |   FAIL - Model load failed: models/current/rok_detector.pt
2026-04-13 17:07:35 | INFO    | rok.test             | Test 4: Safety config check...
2026-04-13 17:07:35 | INFO    | rok.test             |   PASS - Safety: delay=[0.05,0.3]s, offset=+/-5px, max_actions=30/min
2026-04-13 17:07:35 | INFO    | rok.test             | ==================================================
2026-04-13 17:07:35 | INFO    | rok.test             | Test completed
2026-04-13 17:07:35 | INFO    | rok.test             | ==================================================
2026-04-13 17:08:01 | INFO    | rok.main             | ============================================================
2026-04-13 17:08:01 | INFO    | rok.main             | 万国觉醒辅助工具 - ROK Assistant v1.0.0
2026-04-13 17:08:01 | INFO    | rok.main             | ============================================================
2026-04-13 17:08:01 | INFO    | rok.main             | Initializing application...
2026-04-13 17:08:01 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-13 17:08:01 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-13 17:08:01 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-13 17:08:01 | INFO    | rok.test             | ==================================================
2026-04-13 17:08:01 | INFO    | rok.test             | Running basic functionality test
2026-04-13 17:08:01 | INFO    | rok.test             | ==================================================
2026-04-13 17:08:01 | INFO    | rok.test             | Test 1: Window search...
2026-04-13 17:08:01 | ERROR   | rok.WindowCapture    | Window not found: 万国觉醒
2026-04-13 17:08:01 | WARNING | rok.test             |   SKIP - Window '万国觉醒' not found
2026-04-13 17:08:01 | INFO    | rok.test             | Test 2: Screen capture...
2026-04-13 17:08:01 | ERROR   | rok.WindowCapture    | Invalid window handle
